Timestamp,LSL_Time,Trigger,Event_Name
2026-04-11 15:28:22.600566,2513.446894,1,standing_start
2026-04-11 15:28:50.601641,2541.447981,2,standing_end
2026-04-11 15:28:50.602789,2541.449132,3,walking_start
2026-04-11 15:29:05.005535,2555.851885,4,walking_end
2026-04-11 15:29:05.406813,2556.253158,1,standing_start
2026-04-11 15:29:24.407873,2575.254198,2,standing_end
2026-04-11 15:29:24.409226,2575.255561,3,walking_start
2026-04-11 15:29:45.811271,2596.657619,4,walking_end
2026-04-11 15:29:46.212855,2597.059199,1,standing_start
2026-04-11 15:30:08.213415,2619.059757,2,standing_end
2026-04-11 15:30:08.225733,2619.072073,3,walking_start
2026-04-11 15:30:32.628949,2643.475298,4,walking_end
2026-04-11 15:30:33.030891,2643.877231,1,standing_start
2026-04-11 15:30:49.031617,2659.877958,2,standing_end
2026-04-11 15:30:49.032743,2659.879104,3,walking_start
2026-04-11 15:31:01.435502,2672.281850,4,walking_end
2026-04-11 15:31:01.838495,2672.684786,1,standing_start
2026-04-11 15:31:21.839550,2692.685887,2,standing_end
2026-04-11 15:31:21.840782,2692.687135,3,walking_start
2026-04-11 15:31:47.242793,2718.089143,4,walking_end
2026-04-11 15:31:47.644369,2718.490722,1,standing_start
2026-04-11 15:32:01.645018,2732.491356,2,standing_end
2026-04-11 15:32:01.646326,2732.492669,3,walking_start
2026-04-11 15:32:22.049002,2752.895348,4,walking_end
2026-04-11 15:32:22.450510,2753.296851,1,standing_start
2026-04-11 15:32:50.451337,2781.297653,2,standing_end
2026-04-11 15:32:50.452834,2781.299193,3,walking_start
2026-04-11 15:33:09.855171,2800.701523,4,walking_end
2026-04-11 15:33:10.257181,2801.103535,1,standing_start
2026-04-11 15:33:32.258077,2823.104423,2,standing_end
2026-04-11 15:33:32.259419,2823.105778,3,walking_start
2026-04-11 15:33:52.661838,2843.508186,4,walking_end
2026-04-11 15:33:53.063168,2843.909514,1,standing_start
2026-04-11 15:34:16.063817,2866.910148,2,standing_end
2026-04-11 15:34:16.065053,2866.911405,3,walking_start
2026-04-11 15:34:33.467041,2884.313384,4,walking_end
2026-04-11 15:34:33.868014,2884.714364,1,standing_start
2026-04-11 15:35:07.868721,2918.715063,2,standing_end
2026-04-11 15:35:07.869892,2918.716251,3,walking_start
2026-04-11 15:35:33.271534,2944.117887,4,walking_end
